Sequence ID	Sequence name	Collection date	Region	Database
EPI2035193	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009329-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2035193"	2022-03-27	Central	GISAID
EPI2035209	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009330-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2035209"	2022-03-28	Central	GISAID
EPI2035241	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/North_Dakota/22-009337-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gen|EPI2035241"	2022-03-28	Central	GISAID
EPI2053688	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/North_Dakota/22-009677-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gen|EPI2053688"	2022-03-30	Central	GISAID
EPI2053680	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Maine/22-009605-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053680"	2022-03-28	Central	GISAID
EPI2053736	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Iowa/22-009825-005-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comple|EPI2053736"	2022-03-31	Central	GISAID
EPI2053720	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Minnesota/22-009735-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,|EPI2053720"	2022-03-29	Central	GISAID
EPI2053817	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/North_Dakota/22-009978-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2053817"	2022-04-01	Central	GISAID
EPI2053800	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Minnesota/22-009976-003-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2053800"	2022-03-31	Central	GISAID
EPI2053792	"HA|Seq4_[organism=Influenza_A_virus](A/silkie_chicken/Wisconsin/22-009934-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)|EPI2053792"	2022-03-31	Central	GISAID
EPI2053768	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009841-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2053768"	2022-03-31	Central	GISAID
EPI2053834	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009979-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2053834"	2022-04-01	Central	GISAID
EPI2017159	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-008866-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2017159"	2022-03-23	Central	GISAID
EPI2017167	"HA|Seq4_[organism=Influenza_A_virus](A/domestic_duck/Michigan/22-008890-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_g|EPI2017167"	2022-03-22	Central	GISAID
EPI2017127	"HA|Seq4_[organism=Influenza_A_virus](A/pheasant/New_York/22-008760-008-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,|EPI2017127"	2022-03-22	Central	GISAID
EPI2017199	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Nebraska/22-009006-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2017199"	2022-03-23	Central	GISAID
